=== S4.2 SCAN (stcp-cross-platform-001 / p0-07) ===
Path     : E:\My Github Projects\SystemTools\Actions
Scope    : Source
Time(UTC): 2026-09-03T15:59:43Z
[HIT-GATE] AdjustScreenBrightnessAction.cs | R07 | :5: | using System.Management;
[HIT-GATE] TypeContentAction.cs | R02 | :42: | PInvoke.keybd_event(VK_V, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] TypeContentAction.cs | I01 | :42: | PInvoke.keybd_event(VK_V, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] TypeContentAction.cs | R02 | :45: | PInvoke.keybd_event(VK_CONTROL, 0,
[INFO] TypeContentAction.cs | I01 | :45: | PInvoke.keybd_event(VK_CONTROL, 0,
[HIT-GATE] TypeContentAction.cs | R13 | :66: | //[DllImport("user32.dll", SetLastError = true)]
[HIT-GATE] TypeContentAction.cs | X04 | :66: | //[DllImport("user32.dll", SetLastError = true)]
[INFO] TypeContentAction.cs | I01 | :67: | //private static extern void keybd_event(byte bVk, byte bScan, uint dwFlags, UIntPtr dwExtraInfo);
[HIT-GATE] TypeContentAction.cs | R13 | :69: | //[DllImport("user32.dll", SetLastError = true)]
[HIT-GATE] TypeContentAction.cs | X04 | :69: | //[DllImport("user32.dll", SetLastError = true)]
[HIT-GATE] TypeContentAction.cs | R13 | :72: | //[DllImport("user32.dll", SetLastError = true)]
[HIT-GATE] TypeContentAction.cs | X04 | :72: | //[DllImport("user32.dll", SetLastError = true)]
